Spec,T/P/*,Spec Text,Diagram,Question,A,B,C,D,Answer
1.01,-,,,SI unit for force is,Kilograms,Newton,Joules ,acceleration,B
1.03,-,,Y,An object is projected vertically upward from point A. It rises to the highest point and then falls back to point A again. Which of the graphs shows the variation of the displacement of the object with time?,,,,,A
1.04,-,,,A train travels 45 km in 45 mins. What is its average speed?,1 m/s,17 m/s,10 m/s,2000 m/s,B
1.06,-,,,A girl running decreases her speed from 7 m/s to 1 m/s in 3 seconds. What is the average acceleration of the girl?,+2.00 m/s2,-2.00 m/s2,-2.67 m/s2,-2.33 m/s2,B
1.07,-,,Y,"The diagram shows a velocity-time graph plotted for a car. During the first 2.5 s, the car must be",stationary,climbing a hill,accelerating,travelling at constant velocity,C
1.08,-,,,An object travels along a straight line. The graph above shows how its velocity (v) varies with time (t). Which of the following statements about the motion of the object are correct? 1 The acceleration of the object in the first 5 seconds is 2 m/s2. 2 The object changes direction at t = 15 s. 3 The total distance travelled by the object is 75 m.,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 ",A
1.09,-,,Y,The graph shows how velocity varies with time for an object. What is the total distance travelled in 4 s?,20 m,40 m ,60 m ,80 m,C
1.10,-,,,"A car accelerates from rest at 3.5 m/s2, until reaching a speed of 252km/h. How far did the car travel in metres?",700 m             ,9100 m,1400 m            ,2000 m,A
1.11,-,,,An object is moved from the Earth to the Moon. Which of the following will change? 1 The mass of the object. 2 The weight of the object. 3 The time taken for the object to fall through 1 m. ,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 ",C
1.13,-,,,Which of these pairs contains a scalar and a vector?,energy and volume,speed and mass,force and velocity,energy and force,D
1.13,-,,,Which of these pairs are both vector quantities?,weight and mass,velocity and energy,acceleration and speed,force and accelation,D
1.13,-,,,Which of these pairs are both scalar quantities?,energy and force,speed and mass,temperature and velocity,volume and weight,B
1.14,-,,,Which of these statements is correct?,temperature has a direction,speed is a vector,force has magnitude and direction,acceleration is a scalar,C
1.15,-,,,"If two forces of 20 N towards north and 12 N towards south are acting on an object, the resultant force will be..",32 N toward north,20 N towards north,32 N towards south,8 N towards north,D
1.15,-,,,A stationary box is pushed with a force of 20N but it does not move. What is the value of the frictional force acting on the box?,0 N,10 N,20 N,40 N,C
1.15,-,,Y,What is the resultant force in the diagram?,30 N overall,0 N,20 N to the right,10 N downwards,D
1.16,-,,,How can I reduce friction?,heavier object,lubrication,rougher surface ,push down on the object,B
1.16,-,,,"The maximum friction between a box and the table is 15N. I push the box across the table with a force of 20N, what is the friction?",0 N,10 N,15 N,20 N,C
1.16,-,,,What type of force opposes motion and releases thermal energy?,resistance,tension,weight,friction,D
