,specification_point,diagram_name,question,a,b,c,d
0,1.01,,SI unit for force is,Newton,Kilograms,Joules ,acceleration
1,1.03,1.03 Distance-Time Graph.PNG,An object is projected vertically upward from point A. It rises to the highest point and then falls back to point A again. Which of the graphs shows the variation of the displacement of the object with time?,,,,
2,1.04,,A train travels 45 km in 45 mins. What is its average speed?,17 m/s,1 m/s,10 m/s,2000 m/s
3,1.06,,A girl running decreases her speed from 7 m/s to 1 m/s in 3 seconds. What is the average acceleration of the girl?,-2.00 m/s2,+2.00 m/s2,-2.67 m/s2,-2.33 m/s2
4,1.07,1.07 Velocity-Time Graph.PNG,"The diagram shows a velocity-time graph plotted for a car. During the first 2.5 s, the car must be",accelerating,climbing a hill,stationary,travelling at constant velocity
5,1.08,,An object travels along a straight line. The graph above shows how its velocity (v) varies with time (t). Which of the following statements about the motion of the object are correct? 1 The acceleration of the object in the first 5 seconds is 2 m/s2. 2 The object changes direction at t = 15 s. 3 The total distance travelled by the object is 75 m.,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 "
6,1.09,1.09 Distance travelled from Velocity-Time Graph.PNG,The graph shows how velocity varies with time for an object. What is the total distance travelled in 4 s?,60 m ,40 m ,20 m,80 m
7,1.1,,"A car accelerates from rest at 3.5 m/s2, until reaching a speed of 252km/h. How far did the car travel in metres?",700 m             ,9100 m,1400 m            ,2000 m
8,1.11,,An object is moved from the Earth to the Moon. Which of the following will change? 1 The mass of the object. 2 The weight of the object. 3 The time taken for the object to fall through 1 m. ,2 and 3 only ,1 and 3 only,1 and 2 only,"1,2 and 3 "
9,1.13,,Which of these pairs contains a scalar and a vector?,energy and force,speed and mass,force and velocity,energy and volume
10,1.13,,Which of these pairs are both vector quantities?,force and accelation,velocity and energy,acceleration and speed,weight and mass
11,1.13,,Which of these pairs are both scalar quantities?,speed and mass,energy and force,temperature and velocity,volume and weight
12,1.14,,Which of these statements is correct?,force has magnitude and direction,speed is a vector,temperature has a direction,acceleration is a scalar
13,1.15,,"If two forces of 20 N towards north and 12 N towards south are acting on an object, the resultant force will be..",8 N towards north,20 N towards north,32 N towards south,32 N toward north
14,1.15,,A stationary box is pushed with a force of 20N but it does not move. What is the value of the frictional force acting on the box?,20 N,10 N,0 N,40 N
15,1.15,1.15 Resultant Forces on a line.PNG,What is the resultant force in the diagram?,10 N downwards,0 N,20 N to the right,30 N overall
16,1.16,,How can I reduce friction?,lubrication,heavier object,rougher surface ,push down on the object
17,1.16,,"The maximum friction between a box and the table is 15N. I push the box across the table with a force of 20N, what is the friction?",15 N,10 N,0 N,20 N
18,1.16,,What type of force opposes motion and releases thermal energy?,friction,tension,weight,resistance
19,1.17,,A car of mass 1500 kg accelerates constantly from rest for 5 seconds reaching a final speed of 20 m/s. Find the net driving force acting on the car during acceleration.,6000 N,375 N,30000 N,600 N
20,1.18,,An object is moved from the Earth to Jupiter. Which statement is true?,weight will increase,both mass and weight will change,mass and weight stay the same,mass will increase
21,1.18,,A box full of bricks weighs 128 N on moon and has a mass of 80 kg. The gravitational pull of the moon is,1.6 N/kg,1.28 N/kg,50 N/kg,40 N/kg
22,1.18,,"A person of mass 50 kg flies to the moon, what would his weight be on the moon (moon's gravity = 1.6 N/kg)",80 N,500 N,51.6 N,31.25 N
23,1.18,,The surface gravity of a planet is about 20 N/kg. What would be the weight of an object of mass 500g at its surface?,10 N,1000 N,40 N ,25 N
24,1.19,,A car travelling at 30 m/s has a stopping distance of 90 m. The thinking distance is 20 m. Calculate the braking distance of the car.,70 m,80 m,110 m,140 m
25,1.2,,Which of these pairs both affect braking distance?,speed and road condition,speed and reaction time,mass and tiredness,mass and reaction time
26,1.22,,What error should be avoided when measuring extension?,parallax error,vertical ruler,parallel viewing,stationary spring
27,1.22,1.22 Extension of Springs.png,"Different weights are hung from a spring. The diagram shows the original length of the spring, and the lengths when different weights are added. The extension of the spring is directly proportional to the weight hung from it. What is the weight of W?",40 N ,35 N,30 N,45 N
28,1.23,,At what point does Hooke’s law stop being obeyed?,limit of proportionality,elastic limit,limit of elasticity,plastic limit
